filename,duration,distance,average heart rate,average pace,starting time,rTSS,date
activity_12853629628.tcx,4002.0,13.69 km,161 bpm,0:04:52 mins/km,2023-11-24 07:07:58+00:00,73,2023-11-24
activity_11004982868.tcx,4807.0,17.72 km,155 bpm,0:04:31 mins/km,2023-04-29 08:16:18+01:00,103,2023-04-29
activity_9131794945.tcx,5296.0,17.03 km,153 bpm,0:05:11 mins/km,2022-07-03 09:51:06+01:00,86,2022-07-03
activity_10985689404.tcx,1821.0,5.84 km,153 bpm,0:05:12 mins/km,2023-04-26 12:16:43+01:00,29,2023-04-26
activity_12881159922.tcx,6549.0,22.63 km,160 bpm,0:04:49 mins/km,2023-11-26 11:00:27+00:00,123,2023-11-26
activity_10144939813.tcx,1226.0,3.85 km,145 bpm,0:05:18 mins/km,2022-12-17 08:02:19+08:00,19,2022-12-17
activity_10974260523.tcx,4273.0,14.2 km,152 bpm,0:05:01 mins/km,2023-04-24 18:02:56+01:00,82,2023-04-24
activity_10068343120.tcx,2726.0,8.65 km,152 bpm,0:05:15 mins/km,2022-12-02 06:16:34+13:00,43,2022-12-02
activity_9292941773.tcx,2319.0,5.59 km,122 bpm,0:06:55 mins/km,2022-07-28 18:41:11+01:00,33,2022-07-28
activity_10909364523.tcx,2049.0,8.49 km,169 bpm,0:04:01 mins/km,2023-04-15 13:31:07+01:00,55,2023-04-15
activity_11398151358.tcx,4383.0,13.8 km,146 bpm,0:05:18 mins/km,2023-06-22 06:58:55+01:00,68,2023-06-22
activity_8952879701.tcx,1575.0,5.49 km,156 bpm,0:04:47 mins/km,2022-06-04 16:04:54+01:00,30,2022-06-04
activity_11633251568.tcx,2200.0,7.24 km,146 bpm,0:05:04 mins/km,2023-07-24 17:17:10+01:00,37,2023-07-24
activity_13078812137.tcx,4175.0,14.15 km,154 bpm,0:04:55 mins/km,2023-12-12 18:12:06+00:00,81,2023-12-12
activity_12359032017.tcx,4435.0,13.97 km,148 bpm,0:05:17 mins/km,2023-10-17 18:12:07+01:00,79,2023-10-17
activity_10991412474.tcx,4765.0,15.06 km,163 bpm,0:05:16 mins/km,2023-04-27 06:54:31+01:00,75,2023-04-27
activity_12214127973.tcx,1107.0,3.29 km,150 bpm,0:05:36 mins/km,2023-10-07 15:27:44+01:00,15,2023-10-07
activity_11651851898.tcx,4537.0,14.45 km,152 bpm,0:05:14 mins/km,2023-07-27 06:53:29+01:00,72,2023-07-27
activity_9242035936.tcx,2825.0,8.89 km,141 bpm,0:05:18 mins/km,2022-07-20 18:29:19+01:00,44,2022-07-20
activity_10115454793.tcx,5588.0,18.43 km,155 bpm,0:05:03 mins/km,2022-12-11 07:52:05+13:00,95,2022-12-11
activity_10711440887.tcx,3761.0,12.03 km,156 bpm,0:05:13 mins/km,2023-03-17 07:32:28+00:00,60,2023-03-17
activity_11623210997.tcx,5481.0,18.52 km,148 bpm,0:04:56 mins/km,2023-07-23 09:08:45+01:00,98,2023-07-23
activity_8757479174.tcx,3660.0,11.84 km,154 bpm,0:05:09 mins/km,2022-05-04 08:18:59+01:00,60,2022-05-04
activity_11448204310.tcx,4593.0,14.43 km,152 bpm,0:05:18 mins/km,2023-06-29 06:59:58+01:00,71,2023-06-29
activity_11295266911.tcx,4500.0,14.61 km,157 bpm,0:05:08 mins/km,2023-06-08 06:47:43+01:00,74,2023-06-08
activity_9939594779.tcx,1241.0,3.74 km,148 bpm,0:05:32 mins/km,2022-11-08 19:06:32+08:00,18,2022-11-08
activity_10858724662.tcx,4501.0,16.19 km,152 bpm,0:04:38 mins/km,2023-04-08 08:13:23+01:00,92,2023-04-08
activity_9726377117.tcx,565.0,1.63 km,158 bpm,0:05:47 mins/km,2022-10-04 18:45:00+08:00,7,2022-10-04
activity_9918601081.tcx,1155.0,3.66 km,145 bpm,0:05:16 mins/km,2022-11-05 07:32:19+08:00,18,2022-11-05
activity_11543518087.tcx,2178.0,7.14 km,156 bpm,0:05:05 mins/km,2023-07-12 13:07:30+02:00,37,2023-07-12
activity_12742678057.tcx,566.0,1.7 km,140 bpm,0:05:33 mins/km,2023-11-15 14:01:21+00:00,8,2023-11-15
activity_11748183210.tcx,1741.0,5.56 km,147 bpm,0:05:13 mins/km,2023-08-09 12:16:37+01:00,28,2023-08-09
activity_10932683335.tcx,4909.0,15.53 km,153 bpm,0:05:16 mins/km,2023-04-18 18:14:59+01:00,83,2023-04-18
activity_11534577168.tcx,3581.0,11.17 km,154 bpm,0:05:21 mins/km,2023-07-11 09:00:05+02:00,55,2023-07-11
activity_12962160980.tcx,4182.0,12.11 km,148 bpm,0:05:45 mins/km,2023-12-03 07:10:16+00:00,55,2023-12-03
activity_10607480419.tcx,1762.0,6.01 km,150 bpm,0:04:53 mins/km,2023-03-01 12:16:01+00:00,32,2023-03-01
activity_11645989099.tcx,1801.0,5.91 km,159 bpm,0:05:05 mins/km,2023-07-26 12:15:20+01:00,30,2023-07-26
activity_12214122273.tcx,966.0,4.29 km,155 bpm,0:03:45 mins/km,2023-10-07 14:09:20+01:00,30,2023-10-07
activity_10095071714.tcx,3560.0,12.0 km,159 bpm,0:04:57 mins/km,2022-12-07 08:01:14+13:00,63,2022-12-07
activity_10909365868.tcx,1107.0,3.21 km,155 bpm,0:05:45 mins/km,2023-04-15 14:33:22+01:00,15,2023-04-15
activity_9613123455.tcx,4104.0,13.08 km,150 bpm,0:05:14 mins/km,2022-09-15 18:13:11+01:00,68,2022-09-15
activity_8933120548.tcx,2820.0,9.46 km,159 bpm,0:04:58 mins/km,2022-06-01 13:09:30+01:00,50,2022-06-01
activity_10344502330.tcx,3419.0,11.2 km,156 bpm,0:05:05 mins/km,2023-01-20 08:51:33+00:00,58,2023-01-20
activity_10073975528.tcx,3692.0,13.01 km,156 bpm,0:04:44 mins/km,2022-12-03 07:30:29+13:00,73,2022-12-03
activity_11302807455.tcx,3764.0,12.81 km,154 bpm,0:04:54 mins/km,2023-06-09 07:25:40+01:00,69,2023-06-09
activity_9558330060.tcx,3741.0,12.44 km,156 bpm,0:05:01 mins/km,2022-09-07 08:04:35+01:00,67,2022-09-07
activity_10031489907.tcx,3250.0,10.17 km,155 bpm,0:05:20 mins/km,2022-11-25 07:50:47+13:00,50,2022-11-25
activity_9782405213.tcx,1454.0,5.76 km,160 bpm,0:04:12 mins/km,2022-10-13 18:08:15+08:00,36,2022-10-13
activity_9250684860.tcx,3601.0,11.35 km,151 bpm,0:05:17 mins/km,2022-07-22 07:53:03+01:00,56,2022-07-22
activity_9124815729.tcx,4382.0,14.08 km,151 bpm,0:05:11 mins/km,2022-07-02 08:30:55+01:00,73,2022-07-02
activity_10474180110.tcx,3300.0,10.7 km,151 bpm,0:05:08 mins/km,2023-02-09 06:23:33+00:00,54,2023-02-09
activity_9275377596.tcx,3668.0,12.61 km,150 bpm,0:04:51 mins/km,2022-07-26 06:24:20+01:00,70,2022-07-26
activity_10798645974.tcx,4500.0,14.07 km,157 bpm,0:05:20 mins/km,2023-03-30 06:55:56+01:00,69,2023-03-30
activity_8944669852.tcx,1856.0,6.04 km,145 bpm,0:05:08 mins/km,2022-06-03 10:12:07+01:00,31,2022-06-03
activity_11682038146.tcx,1503.0,5.0 km,132 bpm,0:05:01 mins/km,2023-07-31 11:50:57+01:00,26,2023-07-31
activity_11031184156.tcx,5672.0,19.58 km,153 bpm,0:04:50 mins/km,2023-05-02 18:10:09+01:00,114,2023-05-02
activity_9816787542.tcx,3600.0,11.37 km,153 bpm,0:05:17 mins/km,2022-10-19 08:55:22+08:00,56,2022-10-19
activity_9696294717.tcx,1263.0,5.11 km,149 bpm,0:04:07 mins/km,2022-09-29 18:11:51+08:00,33,2022-09-29
activity_11289336625.tcx,1767.0,5.65 km,147 bpm,0:05:13 mins/km,2023-06-07 12:16:03+01:00,28,2023-06-07
activity_11148171146.tcx,3092.0,10.63 km,150 bpm,0:04:51 mins/km,2023-05-19 07:22:44+01:00,57,2023-05-19
activity_12515890825.tcx,6232.0,18.8 km,148 bpm,0:05:32 mins/km,2023-10-29 09:54:34+00:00,89,2023-10-29
activity_10121713048.tcx,1970.0,6.02 km,149 bpm,0:05:27 mins/km,2022-12-12 15:45:42+13:00,29,2022-12-12
activity_10037747756.tcx,1854.0,6.04 km,154 bpm,0:05:07 mins/km,2022-11-26 18:08:19+13:00,31,2022-11-26
activity_9791780212.tcx,1615.0,5.31 km,152 bpm,0:05:04 mins/km,2022-10-15 08:46:47+08:00,30,2022-10-15
activity_8870878437.tcx,5625.0,17.9 km,154 bpm,0:05:14 mins/km,2022-05-22 09:58:25+01:00,89,2022-05-22
activity_10170896373.tcx,1443.0,5.94 km,159 bpm,0:04:03 mins/km,2022-12-22 18:09:51+08:00,38,2022-12-22
activity_12404791953.tcx,3251.0,10.83 km,156 bpm,0:05:00 mins/km,2023-10-21 10:04:29+01:00,57,2023-10-21
activity_12117104964.tcx,1785.0,5.46 km,148 bpm,0:05:27 mins/km,2023-09-27 12:16:14+01:00,26,2023-09-27
activity_10110173417.tcx,3787.0,13.13 km,156 bpm,0:04:48 mins/km,2022-12-10 07:23:17+13:00,72,2022-12-10
activity_11557052255.tcx,3624.0,12.21 km,151 bpm,0:04:57 mins/km,2023-07-14 09:55:37+02:00,64,2023-07-14
activity_10158979872.tcx,3786.0,12.01 km,152 bpm,0:05:15 mins/km,2022-12-20 06:47:59+08:00,60,2022-12-20
activity_11743729853.tcx,1168.0,4.01 km,149 bpm,0:04:51 mins/km,2023-08-08 18:18:13+01:00,22,2023-08-08
activity_11973596229.tcx,4759.0,17.52 km,160 bpm,0:04:32 mins/km,2023-09-08 06:52:04+01:00,102,2023-09-08
activity_10957239115.tcx,7698.0,26.12 km,157 bpm,0:04:55 mins/km,2023-04-22 09:27:36+01:00,139,2023-04-22
activity_12019352686.tcx,2821.0,8.55 km,157 bpm,0:05:30 mins/km,2023-09-14 07:04:31+01:00,41,2023-09-14
activity_11442321805.tcx,1796.0,5.56 km,151 bpm,0:05:23 mins/km,2023-06-28 12:15:33+01:00,27,2023-06-28
activity_11692557526.tcx,4921.0,15.37 km,147 bpm,0:05:20 mins/km,2023-08-01 18:12:01+01:00,88,2023-08-01
activity_10464839839.tcx,3073.0,9.84 km,151 bpm,0:05:12 mins/km,2023-02-07 18:22:18+00:00,53,2023-02-07
activity_12030921504.tcx,1312.0,4.33 km,152 bpm,0:05:03 mins/km,2023-09-15 18:14:49+01:00,22,2023-09-15
activity_10203315503.tcx,3606.0,11.65 km,166 bpm,0:05:10 mins/km,2022-12-29 08:11:06+08:00,59,2022-12-29
activity_10004888466.tcx,1800.0,5.4 km,151 bpm,0:05:33 mins/km,2022-11-20 08:23:15+11:00,25,2022-11-20
activity_11339690503.tcx,2503.0,7.83 km,151 bpm,0:05:20 mins/km,2023-06-14 07:31:53+01:00,38,2023-06-14
activity_12420422045.tcx,5196.0,17.01 km,153 bpm,0:05:05 mins/km,2023-10-22 10:57:16+01:00,87,2023-10-22
activity_9688594138.tcx,3650.0,12.01 km,163 bpm,0:05:04 mins/km,2022-09-28 08:50:59+08:00,62,2022-09-28
activity_10936899444.tcx,1670.0,5.88 km,153 bpm,0:04:44 mins/km,2023-04-19 12:16:10+01:00,32,2023-04-19
activity_9907867620.tcx,4620.0,14.52 km,160 bpm,0:05:18 mins/km,2022-11-03 07:57:17+08:00,72,2022-11-03
activity_9670391316.tcx,3768.0,12.02 km,165 bpm,0:05:13 mins/km,2022-09-25 11:45:24+08:00,60,2022-09-25
activity_11430969913.tcx,2172.0,7.39 km,152 bpm,0:04:54 mins/km,2023-06-26 20:37:35+01:00,39,2023-06-26
activity_9954919720.tcx,1915.0,6.12 km,154 bpm,0:05:13 mins/km,2022-11-11 09:08:34+08:00,31,2022-11-11
activity_11778606850.tcx,5553.0,17.51 km,144 bpm,0:05:17 mins/km,2023-08-13 09:25:29+01:00,86,2023-08-13
activity_11086080411.tcx,1764.0,5.82 km,153 bpm,0:05:03 mins/km,2023-05-10 12:16:25+01:00,30,2023-05-10
activity_9380827558.tcx,4247.0,12.94 km,150 bpm,0:05:28 mins/km,2022-08-11 07:30:56+01:00,62,2022-08-11
activity_9292942593.tcx,854.0,2.79 km,140 bpm,0:05:07 mins/km,2022-07-28 19:26:07+01:00,14,2022-07-28
activity_10706466554.tcx,4205.0,13.38 km,159 bpm,0:05:14 mins/km,2023-03-16 12:22:43+00:00,67,2023-03-16
activity_8927366202.tcx,1026.0,3.49 km,139 bpm,0:04:54 mins/km,2022-05-31 14:43:39+01:00,19,2022-05-31
activity_9977496425.tcx,2747.0,8.0 km,150 bpm,0:05:43 mins/km,2022-11-15 07:28:23+11:00,37,2022-11-15
activity_13036033186.tcx,6506.0,22.11 km,156 bpm,0:04:54 mins/km,2023-12-09 08:48:54+00:00,118,2023-12-09
activity_11370104923.tcx,1287.0,4.34 km,153 bpm,0:04:57 mins/km,2023-06-18 08:52:22+01:00,23,2023-06-18
activity_10130939934.tcx,2876.0,9.25 km,159 bpm,0:05:11 mins/km,2022-12-14 06:42:18+08:00,47,2022-12-14
activity_10277906984.tcx,2872.0,9.2 km,151 bpm,0:05:12 mins/km,2023-01-10 07:23:53+08:00,46,2023-01-10
activity_9577664590.tcx,1477.0,6.01 km,120 bpm,0:04:06 mins/km,2022-09-10 11:36:42+01:00,38,2022-09-10
activity_10247645058.tcx,3601.0,12.94 km,160 bpm,0:04:38 mins/km,2023-01-05 17:31:36+08:00,74,2023-01-05
activity_9748668845.tcx,1142.0,3.55 km,151 bpm,0:05:21 mins/km,2022-10-08 07:34:57+08:00,17,2022-10-08
activity_11370108116.tcx,559.0,1.83 km,149 bpm,0:05:06 mins/km,2023-06-18 10:33:58+01:00,9,2023-06-18
activity_9755207439.tcx,5155.0,16.56 km,158 bpm,0:05:11 mins/km,2022-10-09 08:36:55+08:00,83,2022-10-09
activity_10220552691.tcx,5400.0,17.05 km,149 bpm,0:05:17 mins/km,2023-01-01 08:25:34+08:00,85,2023-01-01
activity_9424657878.tcx,2825.0,9.0 km,151 bpm,0:05:14 mins/km,2022-08-17 19:00:37+01:00,45,2022-08-17
activity_9705909374.tcx,777.0,2.41 km,152 bpm,0:05:23 mins/km,2022-10-01 09:39:31+08:00,12,2022-10-01
activity_10916263358.tcx,5421.0,18.13 km,146 bpm,0:04:59 mins/km,2023-04-16 12:12:38+01:00,95,2023-04-16
activity_8783065161.tcx,4279.0,14.35 km,150 bpm,0:04:58 mins/km,2022-05-08 11:28:11+01:00,76,2022-05-08
activity_9169446150.tcx,3647.0,12.3 km,152 bpm,0:04:57 mins/km,2022-07-09 11:13:32+01:00,65,2022-07-09
activity_11192023059.tcx,2815.0,9.03 km,151 bpm,0:05:12 mins/km,2023-05-25 07:28:56+01:00,45,2023-05-25
activity_11571407772.tcx,411.0,1.34 km,141 bpm,0:05:07 mins/km,2023-07-16 10:37:01+01:00,7,2023-07-16
activity_10186647218.tcx,3741.0,12.22 km,157 bpm,0:05:06 mins/km,2022-12-26 09:05:48+08:00,63,2022-12-26
activity_8802512330.tcx,2829.0,9.29 km,156 bpm,0:05:05 mins/km,2022-05-11 12:56:33+01:00,48,2022-05-11
activity_11251007528.tcx,4021.0,12.87 km,156 bpm,0:05:12 mins/km,2023-06-02 07:41:48+01:00,65,2023-06-02
activity_11868751097.tcx,4201.0,11.08 km,154 bpm,0:06:19 mins/km,2023-08-25 07:13:13+01:00,46,2023-08-25
activity_10252004402.tcx,3619.0,11.8 km,157 bpm,0:05:07 mins/km,2023-01-06 07:42:15+08:00,60,2023-01-06
activity_10225881088.tcx,1819.0,6.01 km,155 bpm,0:05:03 mins/km,2023-01-02 08:48:37+08:00,31,2023-01-02
activity_11186133049.tcx,1946.0,5.34 km,138 bpm,0:06:04 mins/km,2023-05-24 12:16:28+01:00,23,2023-05-24
activity_9060786482.tcx,923.0,2.89 km,163 bpm,0:05:20 mins/km,2022-06-21 19:30:24+01:00,14,2022-06-21
activity_10177641656.tcx,5284.0,18.49 km,153 bpm,0:04:46 mins/km,2022-12-24 06:48:22+08:00,105,2022-12-24
activity_8838641155.tcx,5356.0,17.27 km,158 bpm,0:05:10 mins/km,2022-05-17 07:03:43+01:00,87,2022-05-17
activity_10820533434.tcx,1280.0,4.0 km,146 bpm,0:05:20 mins/km,2023-04-02 14:47:15+01:00,20,2023-04-02
activity_8927367737.tcx,1381.0,4.97 km,137 bpm,0:04:38 mins/km,2022-05-31 15:09:21+01:00,32,2022-05-31
activity_13023243050.tcx,4879.0,15.09 km,137 bpm,0:05:23 mins/km,2023-12-08 07:08:43+00:00,73,2023-12-08
activity_11354391753.tcx,2900.0,10.13 km,156 bpm,0:04:46 mins/km,2023-06-16 07:25:37+01:00,55,2023-06-16
activity_9256776215.tcx,3524.0,12.67 km,153 bpm,0:04:38 mins/km,2022-07-23 08:36:25+01:00,72,2022-07-23
activity_9577808122.tcx,1154.0,3.61 km,151 bpm,0:05:20 mins/km,2022-09-10 12:05:08+01:00,18,2022-09-10
activity_9073535535.tcx,3783.0,11.86 km,143 bpm,0:05:19 mins/km,2022-06-23 18:06:11+01:00,64,2022-06-23
activity_10182389658.tcx,1871.0,6.27 km,157 bpm,0:04:58 mins/km,2022-12-25 08:14:37+08:00,33,2022-12-25
activity_9060785438.tcx,1782.0,5.78 km,150 bpm,0:05:08 mins/km,2022-06-21 18:43:42+01:00,39,2022-06-21
activity_10726502658.tcx,7274.0,23.6 km,154 bpm,0:05:08 mins/km,2023-03-19 10:19:36+00:00,120,2023-03-19
activity_12092252045.tcx,6202.0,20.36 km,154 bpm,0:05:05 mins/km,2023-09-24 06:34:55+02:00,105,2023-09-24
activity_12031077359.tcx,1450.0,4.31 km,148 bpm,0:05:36 mins/km,2023-09-15 19:42:09+01:00,20,2023-09-15
activity_9146597702.tcx,1094.0,3.66 km,149 bpm,0:04:59 mins/km,2022-07-05 18:09:12+01:00,19,2022-07-05
activity_11243637259.tcx,3877.0,12.16 km,152 bpm,0:05:19 mins/km,2023-06-01 06:49:36+01:00,60,2023-06-01
activity_9565584810.tcx,4622.0,14.32 km,155 bpm,0:05:23 mins/km,2022-09-08 10:35:05+01:00,70,2022-09-08
activity_12556190543.tcx,1766.0,5.98 km,150 bpm,0:04:55 mins/km,2023-11-01 12:16:19+00:00,32,2023-11-01
activity_9032158256.tcx,2749.0,8.89 km,154 bpm,0:05:09 mins/km,2022-06-17 06:50:26+01:00,45,2022-06-17
activity_8835621932.tcx,2872.0,9.32 km,137 bpm,0:05:08 mins/km,2022-05-16 17:54:10+01:00,47,2022-05-16
activity_8794886062.tcx,3195.0,11.09 km,155 bpm,0:04:48 mins/km,2022-05-10 10:04:05+01:00,61,2022-05-10
activity_10214327026.tcx,3583.0,13.06 km,159 bpm,0:04:34 mins/km,2022-12-31 07:26:41+08:00,75,2022-12-31
activity_9301525598.tcx,5401.0,17.31 km,151 bpm,0:05:12 mins/km,2022-07-30 08:04:57+01:00,87,2022-07-30
activity_12724146841.tcx,4755.0,15.1 km,153 bpm,0:05:15 mins/km,2023-11-14 06:45:18+00:00,75,2023-11-14
activity_12458864608.tcx,2105.0,7.1 km,153 bpm,0:04:57 mins/km,2023-10-25 07:14:01+01:00,38,2023-10-25
activity_11336557920.tcx,3846.0,12.32 km,140 bpm,0:05:12 mins/km,2023-06-13 18:08:50+01:00,70,2023-06-13
activity_11831235994.tcx,3200.0,10.56 km,155 bpm,0:05:03 mins/km,2023-08-20 09:36:11+01:00,55,2023-08-20
activity_11050676040.tcx,5086.0,18.43 km,159 bpm,0:04:36 mins/km,2023-05-05 12:15:48+01:00,105,2023-05-05
activity_11228670123.tcx,3024.0,9.03 km,155 bpm,0:05:35 mins/km,2023-05-30 08:06:25+01:00,42,2023-05-30
activity_9038423489.tcx,2959.0,10.25 km,152 bpm,0:04:49 mins/km,2022-06-18 08:38:18+01:00,56,2022-06-18
activity_12480721795.tcx,4288.0,15.38 km,162 bpm,0:04:39 mins/km,2023-10-26 18:36:20+01:00,88,2023-10-26
activity_11571308382.tcx,1211.0,5.17 km,147 bpm,0:03:54 mins/km,2023-07-16 10:04:07+01:00,35,2023-07-16
activity_10149704709.tcx,5291.0,16.36 km,155 bpm,0:05:23 mins/km,2022-12-18 07:08:43+08:00,79,2022-12-18
activity_9263961171.tcx,4895.0,16.66 km,156 bpm,0:04:54 mins/km,2022-07-24 09:16:54+01:00,89,2022-07-24
activity_10125255490.tcx,4545.0,15.01 km,161 bpm,0:05:03 mins/km,2022-12-13 07:53:52+13:00,78,2022-12-13
activity_10772480750.tcx,6249.0,19.68 km,152 bpm,0:05:18 mins/km,2023-03-26 08:58:02+01:00,97,2023-03-26
activity_9244334983.tcx,2019.0,6.41 km,148 bpm,0:05:15 mins/km,2022-07-21 07:03:09+01:00,32,2022-07-21
activity_12065738656.tcx,1806.0,5.98 km,155 bpm,0:05:02 mins/km,2023-09-20 12:10:59+01:00,31,2023-09-20
activity_9918768479.tcx,1240.0,4.02 km,158 bpm,0:05:08 mins/km,2022-11-05 08:31:21+08:00,20,2022-11-05
activity_9190657407.tcx,1143.0,3.56 km,136 bpm,0:05:21 mins/km,2022-07-12 18:02:30+01:00,17,2022-07-12
activity_12041669205.tcx,710.0,2.26 km,150 bpm,0:05:14 mins/km,2023-09-17 09:23:47+01:00,11,2023-09-17
activity_10825956006.tcx,4545.0,15.01 km,146 bpm,0:05:03 mins/km,2023-04-03 07:32:38+01:00,78,2023-04-03
activity_9007228508.tcx,3795.0,12.34 km,149 bpm,0:05:08 mins/km,2022-06-13 08:53:31+01:00,63,2022-06-13
activity_10515533099.tcx,1732.0,5.89 km,150 bpm,0:04:54 mins/km,2023-02-15 12:16:05+00:00,32,2023-02-15
activity_10440751763.tcx,3640.0,12.92 km,153 bpm,0:04:42 mins/km,2023-02-04 08:32:35+00:00,73,2023-02-04
activity_8969944239.tcx,998.0,3.23 km,153 bpm,0:05:09 mins/km,2022-06-07 10:16:07+01:00,16,2022-06-07
activity_12687157811.tcx,1178.0,3.6 km,154 bpm,0:05:28 mins/km,2023-11-11 11:51:43+00:00,17,2023-11-11
activity_10041723060.tcx,2745.0,8.75 km,156 bpm,0:05:14 mins/km,2022-11-27 07:31:47+13:00,44,2022-11-27
activity_8733256848.tcx,1228.0,4.06 km,165 bpm,0:05:03 mins/km,2022-04-30 12:36:52+01:00,21,2022-04-30
activity_10558180541.tcx,4614.0,15.5 km,147 bpm,0:04:58 mins/km,2023-02-21 18:08:18+00:00,87,2023-02-21
activity_10499249348.tcx,2027.0,6.5 km,149 bpm,0:05:12 mins/km,2023-02-12 17:17:03+00:00,33,2023-02-12
activity_9486283627.tcx,2910.0,9.43 km,155 bpm,0:05:09 mins/km,2022-08-27 10:08:24+01:00,48,2022-08-27
activity_11312822440.tcx,4875.0,16.06 km,151 bpm,0:05:03 mins/km,2023-06-10 14:10:54+01:00,83,2023-06-10
activity_10839976536.tcx,1818.0,5.8 km,148 bpm,0:05:13 mins/km,2023-04-05 12:15:12+01:00,29,2023-04-05
